user_id,item_id,rating,timestamp,clicked
103,442,4,2023-01-01 00:00:00,1
436,279,5,2023-01-01 01:00:00,1
861,251,5,2023-01-01 02:00:00,1
271,310,3,2023-01-01 03:00:00,0
107,208,3,2023-01-01 04:00:00,0
72,321,3,2023-01-01 05:00:00,0
701,140,4,2023-01-01 06:00:00,1
21,280,5,2023-01-01 07:00:00,1
615,34,4,2023-01-01 08:00:00,1
122,309,3,2023-01-01 09:00:00,0
467,392,5,2023-01-01 10:00:00,1
215,18,2,2023-01-01 11:00:00,0
331,57,1,2023-01-01 12:00:00,0
459,112,1,2023-01-01 13:00:00,0
88,5,3,2023-01-01 14:00:00,0
373,410,4,2023-01-01 15:00:00,1
100,414,2,2023-01-01 16:00:00,0
872,182,5,2023-01-01 17:00:00,1
664,13,4,2023-01-01 18:00:00,1
131,339,3,2023-01-01 19:00:00,0
662,285,4,2023-01-01 20:00:00,1
309,259,3,2023-01-01 21:00:00,0
770,90,1,2023-01-01 22:00:00,0
344,104,1,2023-01-01 23:00:00,0
492,379,4,2023-01-02 00:00:00,1
414,186,2,2023-01-02 01:00:00,0
806,250,5,2023-01-02 02:00:00,1
386,255,3,2023-01-02 03:00:00,0
192,76,5,2023-01-02 04:00:00,1
956,386,1,2023-01-02 05:00:00,0
277,459,2,2023-01-02 06:00:00,0
161,108,2,2023-01-02 07:00:00,0
460,156,5,2023-01-02 08:00:00,1
314,82,1,2023-01-02 09:00:00,0
22,77,5,2023-01-02 10:00:00,1
253,485,4,2023-01-02 11:00:00,1
748,470,2,2023-01-02 12:00:00,0
857,460,2,2023-01-02 13:00:00,0
561,258,4,2023-01-02 14:00:00,1
475,127,1,2023-01-02 15:00:00,0
59,485,2,2023-01-02 16:00:00,0
511,391,3,2023-01-02 17:00:00,0
682,282,3,2023-01-02 18:00:00,0
476,474,1,2023-01-02 19:00:00,0
700,88,4,2023-01-02 20:00:00,1
976,204,5,2023-01-02 21:00:00,1
783,16,1,2023-01-02 22:00:00,0
190,151,5,2023-01-02 23:00:00,1
958,424,1,2023-01-03 00:00:00,0
687,254,3,2023-01-03 01:00:00,0
958,188,4,2023-01-03 02:00:00,1
563,329,3,2023-01-03 03:00:00,0
876,32,4,2023-01-03 04:00:00,1
567,271,5,2023-01-03 05:00:00,1
244,485,1,2023-01-03 06:00:00,0
832,397,2,2023-01-03 07:00:00,0
505,5,2,2023-01-03 08:00:00,0
131,459,4,2023-01-03 09:00:00,1
485,330,4,2023-01-03 10:00:00,1
819,308,3,2023-01-03 11:00:00,0
647,333,2,2023-01-03 12:00:00,0
21,169,3,2023-01-03 13:00:00,0
841,181,5,2023-01-03 14:00:00,1
167,366,2,2023-01-03 15:00:00,0
274,178,5,2023-01-03 16:00:00,1
388,143,1,2023-01-03 17:00:00,0
601,362,3,2023-01-03 18:00:00,0
316,248,4,2023-01-03 19:00:00,1
14,127,2,2023-01-03 20:00:00,0
242,263,3,2023-01-03 21:00:00,0
777,40,4,2023-01-03 22:00:00,1
346,412,1,2023-01-03 23:00:00,0
565,416,2,2023-01-04 00:00:00,0
898,355,5,2023-01-04 01:00:00,1
340,255,1,2023-01-04 02:00:00,0
92,143,4,2023-01-04 03:00:00,1
367,240,2,2023-01-04 04:00:00,0
956,228,2,2023-01-04 05:00:00,0
455,341,1,2023-01-04 06:00:00,0
428,198,2,2023-01-04 07:00:00,0
509,65,4,2023-01-04 08:00:00,1
776,388,1,2023-01-04 09:00:00,0
943,11,5,2023-01-04 10:00:00,1
35,108,1,2023-01-04 11:00:00,0
206,26,1,2023-01-04 12:00:00,0
81,445,5,2023-01-04 13:00:00,1
932,421,4,2023-01-04 14:00:00,1
562,151,3,2023-01-04 15:00:00,0
872,221,3,2023-01-04 16:00:00,0
388,341,5,2023-01-04 17:00:00,1
2,496,4,2023-01-04 18:00:00,1
390,237,2,2023-01-04 19:00:00,0
566,237,5,2023-01-04 20:00:00,1
106,497,3,2023-01-04 21:00:00,0
772,219,4,2023-01-04 22:00:00,1
822,487,1,2023-01-04 23:00:00,0
477,424,4,2023-01-05 00:00:00,1
703,461,4,2023-01-05 01:00:00,1
402,151,3,2023-01-05 02:00:00,0
730,123,3,2023-01-05 03:00:00,0
556,144,2,2023-01-05 04:00:00,0
162,478,2,2023-01-05 05:00:00,0
202,189,5,2023-01-05 06:00:00,1
958,255,1,2023-01-05 07:00:00,0
996,68,2,2023-01-05 08:00:00,0
270,104,3,2023-01-05 09:00:00,0
863,336,4,2023-01-05 10:00:00,1
816,159,5,2023-01-05 11:00:00,1
271,309,2,2023-01-05 12:00:00,0
456,362,4,2023-01-05 13:00:00,1
462,409,4,2023-01-05 14:00:00,1
727,300,2,2023-01-05 15:00:00,0
252,396,1,2023-01-05 16:00:00,0
702,90,1,2023-01-05 17:00:00,0
296,357,5,2023-01-05 18:00:00,1
725,256,1,2023-01-05 19:00:00,0
720,496,5,2023-01-05 20:00:00,1
749,353,3,2023-01-05 21:00:00,0
338,220,2,2023-01-05 22:00:00,0
879,9,4,2023-01-05 23:00:00,1
53,12,5,2023-01-06 00:00:00,1
792,325,1,2023-01-06 01:00:00,0
922,438,5,2023-01-06 02:00:00,1
217,244,5,2023-01-06 03:00:00,1
764,182,1,2023-01-06 04:00:00,0
188,284,1,2023-01-06 05:00:00,0
380,312,2,2023-01-06 06:00:00,0
493,99,4,2023-01-06 07:00:00,1
41,197,2,2023-01-06 08:00:00,0
157,482,2,2023-01-06 09:00:00,0
15,366,1,2023-01-06 10:00:00,0
813,226,1,2023-01-06 11:00:00,0
65,333,4,2023-01-06 12:00:00,1
857,103,5,2023-01-06 13:00:00,1
839,106,2,2023-01-06 14:00:00,0
521,365,4,2023-01-06 15:00:00,1
344,368,2,2023-01-06 16:00:00,0
129,58,5,2023-01-06 17:00:00,1
648,78,2,2023-01-06 18:00:00,0
472,75,3,2023-01-06 19:00:00,0
63,42,4,2023-01-06 20:00:00,1
139,422,1,2023-01-06 21:00:00,0
499,324,2,2023-01-06 22:00:00,0
593,181,4,2023-01-06 23:00:00,1
392,33,4,2023-01-07 00:00:00,1
675,71,2,2023-01-07 01:00:00,0
419,56,1,2023-01-07 02:00:00,0
289,105,1,2023-01-07 03:00:00,0
379,200,2,2023-01-07 04:00:00,0
773,101,4,2023-01-07 05:00:00,1
490,256,1,2023-01-07 06:00:00,0
231,307,2,2023-01-07 07:00:00,0
41,74,2,2023-01-07 08:00:00,0
28,171,2,2023-01-07 09:00:00,0
135,377,4,2023-01-07 10:00:00,1
201,143,1,2023-01-07 11:00:00,0
